Date,Open,High,Low,Close
12/31/2007,"1,468.36","1,475.83","1,465.13","1,468.36"
12/28/2007,"1,478.49","1,487.90","1,471.74","1,478.49"
12/27/2007,"1,476.37","1,495.05","1,475.86","1,476.37"
12/26/2007,"1,497.66","1,498.85","1,488.20","1,497.66"
12/24/2007,"1,496.45","1,497.63","1,484.55","1,496.45"
12/21/2007,"1,484.46","1,485.40","1,463.19","1,484.46"
12/20/2007,"1,460.12","1,461.53","1,447.22","1,460.12"
12/19/2007,"1,453.00","1,464.40","1,445.49","1,453.00"
12/18/2007,"1,454.98","1,460.16","1,435.65","1,454.98"
12/17/2007,"1,445.90","1,467.95","1,445.46","1,445.90"
12/14/2007,"1,467.95","1,488.39","1,467.87","1,467.95"
12/13/2007,"1,488.41","1,489.40","1,469.21","1,488.41"
12/12/2007,"1,486.59","1,511.96","1,468.23","1,486.59"
12/11/2007,"1,477.65","1,523.57","1,475.99","1,477.65"
12/10/2007,"1,515.96","1,518.27","1,504.96","1,515.96"
12/07/2007,"1,504.66","1,510.41","1,502.71","1,504.66"
12/06/2007,"1,507.34","1,508.02","1,482.19","1,507.34"
12/05/2007,"1,485.01","1,485.85","1,462.06","1,485.01"
12/04/2007,"1,462.79","1,471.34","1,460.66","1,462.79"
12/03/2007,"1,472.42","1,481.16","1,470.08","1,472.42"
11/30/2007,"1,481.14","1,488.74","1,469.72","1,481.14"
11/29/2007,"1,469.72","1,473.81","1,458.36","1,469.72"
11/28/2007,"1,469.02","1,471.62","1,432.95","1,469.02"
11/27/2007,"1,428.23","1,429.49","1,407.43","1,428.23"
11/26/2007,"1,407.22","1,446.09","1,406.10","1,407.22"
11/23/2007,"1,440.70","1,440.86","1,417.62","1,440.70"
11/21/2007,"1,416.77","1,436.40","1,415.64","1,416.77"
11/20/2007,"1,439.70","1,452.64","1,419.28","1,439.70"
11/19/2007,"1,433.27","1,456.70","1,430.42","1,433.27"
11/16/2007,"1,458.74","1,462.18","1,443.99","1,458.74"
11/15/2007,"1,451.15","1,472.67","1,443.49","1,451.15"
11/14/2007,"1,470.58","1,492.14","1,466.47","1,470.58"
11/13/2007,"1,481.05","1,481.37","1,441.35","1,481.05"
11/12/2007,"1,439.18","1,464.94","1,438.53","1,439.18"
11/09/2007,"1,453.70","1,474.09","1,448.51","1,453.70"
11/08/2007,"1,474.77","1,482.50","1,450.31","1,474.77"
11/07/2007,"1,475.62","1,515.46","1,475.04","1,475.62"
11/06/2007,"1,520.27","1,520.77","1,499.07","1,520.27"
11/05/2007,"1,502.17","1,510.84","1,489.95","1,502.17"
11/02/2007,"1,509.65","1,513.15","1,492.53","1,509.65"
11/01/2007,"1,508.44","1,545.79","1,506.66","1,508.44"
10/31/2007,"1,549.38","1,552.76","1,529.40","1,549.38"
10/30/2007,"1,531.02","1,539.42","1,529.55","1,531.02"
10/29/2007,"1,540.98","1,544.67","1,536.43","1,540.98"
10/26/2007,"1,535.28","1,535.53","1,520.18","1,535.28"
10/25/2007,"1,514.40","1,523.24","1,500.46","1,514.40"
10/24/2007,"1,515.88","1,517.23","1,489.56","1,515.88"
10/23/2007,"1,519.59","1,520.01","1,503.61","1,519.59"
10/22/2007,"1,506.33","1,508.06","1,490.40","1,506.33"
10/19/2007,"1,500.63","1,540.00","1,500.26","1,500.63"
10/18/2007,"1,540.08","1,542.79","1,531.76","1,540.08"
10/17/2007,"1,541.24","1,550.66","1,526.01","1,541.24"
10/16/2007,"1,538.53","1,547.81","1,536.29","1,538.53"
10/15/2007,"1,548.71","1,564.74","1,540.81","1,548.71"
10/12/2007,"1,561.80","1,563.03","1,554.09","1,561.80"
10/11/2007,"1,554.41","1,576.09","1,546.72","1,554.41"
10/10/2007,"1,562.47","1,565.36","1,555.46","1,562.47"
10/09/2007,"1,565.15","1,565.27","1,551.81","1,565.15"
10/08/2007,"1,552.58","1,556.51","1,549.00","1,552.58"
10/05/2007,"1,557.59","1,561.91","1,543.84","1,557.59"
10/04/2007,"1,542.84","1,544.02","1,537.63","1,542.84"
10/03/2007,"1,539.60","1,545.84","1,536.34","1,539.60"
10/02/2007,"1,546.63","1,548.01","1,540.37","1,546.63"
10/01/2007,"1,547.04","1,549.02","1,527.25","1,547.04"
