Date,Open,High,Low,Close
12/31/1998,"1,229.23","1,237.18","1,224.96","1,229.23"
12/30/1998,"1,231.93","1,244.93","1,231.20","1,231.93"
12/29/1998,"1,241.81","1,241.86","1,220.78","1,241.81"
12/28/1998,"1,225.49","1,231.58","1,221.17","1,225.49"
12/24/1998,"1,226.27","1,229.72","1,224.85","1,226.27"
12/23/1998,"1,228.54","1,229.89","1,203.57","1,228.54"
12/22/1998,"1,203.57","1,209.22","1,192.72","1,203.57"
12/21/1998,"1,202.84","1,210.88","1,188.03","1,202.84"
12/18/1998,"1,188.03","1,188.89","1,178.27","1,188.03"
12/17/1998,"1,179.98","1,180.03","1,161.94","1,179.98"
12/16/1998,"1,161.94","1,166.29","1,154.69","1,161.94"
12/15/1998,"1,162.83","1,162.83","1,141.20","1,162.83"
12/14/1998,"1,141.20","1,166.46","1,136.89","1,141.20"
12/11/1998,"1,166.46","1,167.89","1,153.19","1,166.46"
12/10/1998,"1,165.02","1,183.77","1,163.75","1,165.02"
12/09/1998,"1,183.49","1,185.22","1,175.89","1,183.49"
12/08/1998,"1,181.38","1,193.53","1,172.78","1,181.38"
12/07/1998,"1,187.70","1,188.96","1,176.71","1,187.70"
12/04/1998,"1,176.74","1,176.74","1,150.14","1,176.74"
12/03/1998,"1,150.14","1,176.99","1,149.61","1,150.14"
12/02/1998,"1,171.25","1,175.28","1,157.76","1,171.25"
12/01/1998,"1,175.28","1,175.89","1,150.31","1,175.28"
11/30/1998,"1,163.63","1,192.72","1,163.63","1,163.63"
11/27/1998,"1,192.33","1,192.97","1,186.83","1,192.33"
11/25/1998,"1,186.87","1,187.16","1,179.37","1,186.87"
11/24/1998,"1,182.99","1,191.30","1,181.81","1,182.99"
11/23/1998,"1,188.21","1,188.21","1,163.55","1,188.21"
11/20/1998,"1,163.55","1,163.55","1,152.61","1,163.55"
11/19/1998,"1,152.61","1,155.10","1,144.42","1,152.61"
11/18/1998,"1,144.48","1,144.52","1,133.07","1,144.48"
11/17/1998,"1,139.32","1,151.71","1,129.67","1,139.32"
11/16/1998,"1,135.87","1,138.72","1,125.72","1,135.87"
11/13/1998,"1,125.72","1,126.34","1,116.76","1,125.72"
11/12/1998,"1,117.69","1,126.57","1,115.55","1,117.69"
11/11/1998,"1,120.97","1,136.25","1,117.40","1,120.97"
