Date,Open,High,Low,Close
12/30/1988,"277.72","279.78","277.72","277.72"
12/29/1988,"279.40","279.42","277.08","279.40"
12/28/1988,"277.08","277.55","276.17","277.08"
12/27/1988,"276.83","278.09","276.74","276.83"
12/23/1988,"277.87","277.99","276.87","277.87"
12/22/1988,"276.87","277.89","276.86","276.87"
12/21/1988,"277.38","277.83","276.30","277.38"
12/20/1988,"277.47","280.45","277.47","277.47"
12/19/1988,"278.91","279.31","275.61","278.91"
12/16/1988,"276.29","276.29","274.28","276.29"
12/15/1988,"274.28","275.62","274.01","274.28"
12/14/1988,"275.31","276.31","274.58","275.31"
12/13/1988,"276.31","276.52","274.58","276.31"
12/12/1988,"276.52","278.82","276.52","276.52"
12/09/1988,"277.03","277.82","276.34","277.03"
12/08/1988,"276.57","278.13","276.55","276.57"
12/07/1988,"278.13","279.01","277.34","278.13"
12/06/1988,"277.59","277.89","274.62","277.59"
12/05/1988,"274.93","275.62","271.81","274.93"
12/02/1988,"271.81","272.49","270.47","271.81"
12/01/1988,"272.49","273.70","272.27","272.49"
11/30/1988,"273.70","274.36","270.90","273.70"
11/29/1988,"270.91","271.31","268.13","270.91"
11/28/1988,"268.64","268.98","266.97","268.64"
11/25/1988,"267.23","269.00","266.47","267.23"
11/23/1988,"269.00","269.56","267.21","269.00"
11/22/1988,"267.21","267.85","265.42","267.21"
11/21/1988,"266.22","266.47","263.41","266.22"
11/18/1988,"266.47","266.62","264.60","266.47"
11/17/1988,"264.60","265.63","263.45","264.60"
11/16/1988,"263.82","268.41","262.85","263.82"
11/15/1988,"268.34","268.75","267.72","268.34"
11/14/1988,"267.72","269.25","266.79","267.72"
11/11/1988,"267.92","273.69","267.92","267.92"
11/10/1988,"273.69","274.37","272.98","273.69"
11/09/1988,"273.33","275.15","272.15","273.33"
11/08/1988,"275.15","275.80","273.93","275.15"
11/07/1988,"273.93","276.31","273.62","273.93"
11/04/1988,"276.31","279.20","276.31","276.31"
11/03/1988,"279.20","280.37","279.04","279.20"
11/02/1988,"279.06","279.45","277.08","279.06"
11/01/1988,"279.06","279.57","278.01","279.06"
10/31/1988,"278.97","279.39","277.14","278.97"
10/28/1988,"278.53","279.48","277.28","278.53"
10/27/1988,"277.28","281.38","276.00","277.28"
10/26/1988,"281.38","282.52","280.54","281.38"
10/25/1988,"282.38","282.84","281.87","282.38"
10/24/1988,"282.28","283.95","282.28","282.28"
10/21/1988,"283.66","283.66","281.16","283.66"
10/20/1988,"282.88","282.88","276.93","282.88"
10/19/1988,"276.97","280.53","274.41","276.97"
10/18/1988,"279.38","279.39","276.41","279.38"
10/17/1988,"276.41","276.65","275.01","276.41"
10/14/1988,"275.50","277.01","274.08","275.50"
10/13/1988,"275.22","275.83","273.39","275.22"
10/12/1988,"273.98","277.93","273.05","273.98"
10/11/1988,"277.93","278.24","276.33","277.93"
10/10/1988,"278.24","278.69","277.10","278.24"
10/07/1988,"278.07","278.07","272.37","278.07"
10/06/1988,"272.39","272.39","271.30","272.39"
10/05/1988,"271.86","272.45","270.08","271.86"
10/04/1988,"270.62","271.79","270.34","270.62"
10/03/1988,"271.38","271.91","268.84","271.38"
09/30/1988,"271.91","274.87","271.66","271.91"
09/29/1988,"272.59","273.02","269.08","272.59"
09/28/1988,"269.08","269.08","267.77","269.08"
09/27/1988,"268.26","269.36","268.01","268.26"
09/26/1988,"268.88","269.80","268.61","268.88"
09/23/1988,"269.76","270.31","268.28","269.76"
09/22/1988,"269.18","270.58","268.26","269.18"
09/21/1988,"270.16","270.64","269.48","270.16"
09/20/1988,"269.73","270.07","268.50","269.73"
09/19/1988,"268.82","270.65","267.41","268.82"
09/16/1988,"270.65","270.81","267.33","270.65"
09/15/1988,"268.13","269.78","268.03","268.13"
09/14/1988,"269.31","269.47","267.41","269.31"
09/13/1988,"267.43","267.43","265.22","267.43"
09/12/1988,"266.47","267.64","266.22","266.47"
09/09/1988,"266.84","268.26","263.66","266.84"
09/08/1988,"265.88","266.54","264.88","265.88"
09/07/1988,"265.87","266.98","264.93","265.87"
09/06/1988,"265.59","265.94","264.40","265.59"
09/02/1988,"264.48","264.90","258.35","264.48"
09/01/1988,"258.35","261.52","256.98","258.35"
08/31/1988,"261.52","263.80","261.21","261.52"
08/30/1988,"262.51","263.18","261.53","262.51"
08/29/1988,"262.33","262.56","259.68","262.33"
08/26/1988,"259.68","260.15","258.87","259.68"
08/25/1988,"259.18","261.13","257.56","259.18"
08/24/1988,"261.13","261.13","257.09","261.13"
08/23/1988,"257.09","257.86","256.53","257.09"
08/22/1988,"256.98","260.71","256.94","256.98"
08/19/1988,"260.24","262.27","260.23","260.24"
08/18/1988,"261.03","262.76","260.75","261.03"
08/17/1988,"260.77","261.84","259.33","260.77"
08/16/1988,"260.56","262.61","257.50","260.56"
08/15/1988,"258.69","262.55","258.68","258.69"
08/12/1988,"262.55","262.94","261.37","262.55"
08/11/1988,"262.75","262.77","260.34","262.75"
08/10/1988,"261.90","266.49","261.03","261.90"
08/09/1988,"266.49","270.20","265.06","266.49"
08/08/1988,"269.98","272.47","269.93","269.98"
08/05/1988,"271.15","271.93","270.08","271.15"
08/04/1988,"271.93","274.20","271.77","271.93"
08/03/1988,"272.98","273.42","271.15","272.98"
08/02/1988,"272.06","273.68","270.37","272.06"
08/01/1988,"272.21","272.80","271.21","272.21"
07/29/1988,"272.02","272.02","266.02","272.02"
07/28/1988,"266.02","266.55","262.50","266.02"
07/27/1988,"262.50","265.83","262.48","262.50"
07/26/1988,"265.19","266.09","264.32","265.19"
07/25/1988,"264.68","265.17","263.03","264.68"
07/22/1988,"263.50","266.66","263.29","263.50"
07/21/1988,"266.66","270.00","266.66","266.66"
07/20/1988,"270.00","270.24","268.47","270.00"
07/19/1988,"268.47","271.21","267.01","268.47"
07/18/1988,"270.51","272.05","268.66","270.51"
07/15/1988,"272.05","272.06","269.53","272.05"
07/14/1988,"270.26","270.69","268.58","270.26"
07/13/1988,"269.32","269.46","266.12","269.32"
07/12/1988,"267.85","270.70","266.96","267.85"
07/11/1988,"270.55","271.64","270.02","270.55"
07/08/1988,"270.02","272.31","269.86","270.02"
07/07/1988,"271.78","272.05","269.31","271.78"
07/06/1988,"272.02","276.36","269.92","272.02"
07/05/1988,"275.81","275.81","270.51","275.81"
07/01/1988,"271.78","273.80","270.78","271.78"
06/30/1988,"273.50","273.51","270.97","273.50"
06/29/1988,"270.98","273.01","269.49","270.98"
06/28/1988,"272.31","272.80","269.06","272.31"
06/27/1988,"269.06","273.79","268.85","269.06"
06/24/1988,"273.78","275.19","273.53","273.78"
06/23/1988,"274.82","275.89","274.26","274.82"
06/22/1988,"275.66","276.88","271.67","275.66"
06/21/1988,"271.67","271.67","267.52","271.67"
06/20/1988,"268.94","270.68","268.59","268.94"
