Date,Open,High,Low,Close
10/16/2006,"1,369.05","1,370.20","1,364.48","1,369.05"
10/13/2006,"1,365.62","1,366.63","1,360.50","1,365.62"
10/12/2006,"1,362.83","1,363.76","1,349.94","1,362.83"
10/11/2006,"1,349.95","1,353.97","1,343.57","1,349.95"
10/10/2006,"1,353.42","1,354.23","1,348.60","1,353.42"
10/09/2006,"1,350.66","1,352.69","1,346.55","1,350.66"
10/06/2006,"1,349.58","1,353.22","1,344.21","1,349.58"
10/05/2006,"1,353.22","1,353.79","1,347.75","1,353.22"
10/04/2006,"1,350.22","1,350.22","1,331.48","1,350.22"
10/03/2006,"1,334.11","1,338.31","1,327.10","1,334.11"
10/02/2006,"1,331.32","1,338.54","1,330.28","1,331.32"
09/29/2006,"1,335.85","1,339.88","1,335.64","1,335.85"
09/28/2006,"1,339.15","1,340.28","1,333.75","1,339.15"
09/27/2006,"1,336.59","1,340.08","1,333.54","1,336.59"
09/26/2006,"1,336.34","1,336.60","1,325.30","1,336.34"
09/25/2006,"1,326.37","1,329.35","1,311.58","1,326.37"
09/22/2006,"1,314.78","1,318.03","1,310.94","1,314.78"
09/21/2006,"1,318.03","1,328.19","1,315.45","1,318.03"
09/20/2006,"1,325.18","1,328.53","1,318.28","1,325.18"
09/19/2006,"1,318.31","1,322.04","1,312.17","1,318.31"
09/18/2006,"1,321.18","1,324.87","1,318.16","1,321.18"
09/15/2006,"1,319.87","1,324.65","1,316.28","1,319.87"
09/14/2006,"1,316.28","1,318.00","1,313.25","1,316.28"
09/13/2006,"1,318.07","1,319.92","1,311.12","1,318.07"
09/12/2006,"1,313.11","1,314.28","1,299.53","1,313.11"
09/11/2006,"1,299.54","1,302.36","1,290.93","1,299.54"
09/08/2006,"1,298.92","1,300.14","1,294.02","1,298.92"
09/07/2006,"1,294.02","1,301.25","1,292.13","1,294.02"
09/06/2006,"1,300.26","1,313.04","1,299.28","1,300.26"
09/05/2006,"1,313.25","1,314.67","1,308.82","1,313.25"
09/01/2006,"1,311.01","1,312.03","1,303.80","1,311.01"
08/31/2006,"1,303.82","1,306.11","1,302.45","1,303.82"
08/30/2006,"1,304.27","1,306.74","1,302.15","1,304.27"
08/29/2006,"1,304.28","1,305.02","1,295.29","1,304.28"
08/28/2006,"1,301.78","1,305.02","1,293.97","1,301.78"
08/25/2006,"1,295.09","1,298.88","1,292.39","1,295.09"
08/24/2006,"1,296.06","1,297.23","1,291.40","1,296.06"
08/23/2006,"1,292.99","1,301.50","1,289.49","1,292.99"
08/22/2006,"1,298.82","1,302.49","1,294.44","1,298.82"
08/21/2006,"1,297.52","1,302.30","1,295.51","1,297.52"
08/18/2006,"1,302.30","1,302.30","1,293.57","1,302.30"
08/17/2006,"1,297.48","1,300.78","1,292.71","1,297.48"
08/16/2006,"1,295.43","1,296.21","1,285.27","1,295.43"
08/15/2006,"1,285.58","1,286.23","1,268.19","1,285.58"
08/14/2006,"1,268.21","1,278.90","1,266.67","1,268.21"
08/11/2006,"1,266.74","1,271.64","1,262.08","1,266.74"
08/10/2006,"1,271.81","1,272.55","1,261.30","1,271.81"
08/09/2006,"1,265.95","1,283.74","1,264.73","1,265.95"
08/08/2006,"1,271.48","1,282.75","1,268.37","1,271.48"
08/07/2006,"1,275.77","1,279.31","1,273.00","1,275.77"
08/04/2006,"1,279.36","1,292.92","1,273.82","1,279.36"
08/03/2006,"1,280.27","1,283.96","1,271.25","1,280.27"
08/02/2006,"1,278.55","1,283.42","1,270.73","1,278.55"
08/01/2006,"1,270.92","1,276.66","1,265.71","1,270.92"
07/31/2006,"1,276.66","1,278.66","1,274.31","1,276.66"
07/28/2006,"1,278.55","1,280.42","1,263.15","1,278.55"
07/27/2006,"1,263.20","1,275.85","1,261.92","1,263.20"
07/26/2006,"1,268.40","1,273.89","1,261.94","1,268.40"
07/25/2006,"1,268.88","1,272.39","1,257.19","1,268.88"
07/24/2006,"1,260.91","1,262.50","1,240.25","1,260.91"
07/21/2006,"1,240.29","1,250.96","1,238.72","1,240.29"
07/20/2006,"1,249.13","1,262.56","1,249.13","1,249.13"
07/19/2006,"1,259.81","1,261.81","1,236.74","1,259.81"
07/18/2006,"1,236.86","1,239.86","1,224.54","1,236.86"
07/17/2006,"1,234.49","1,240.07","1,231.49","1,234.49"
07/14/2006,"1,236.20","1,242.70","1,228.45","1,236.20"
07/13/2006,"1,242.29","1,258.58","1,241.43","1,242.29"
07/12/2006,"1,258.60","1,273.31","1,257.29","1,258.60"
07/11/2006,"1,272.52","1,273.64","1,259.65","1,272.52"
07/10/2006,"1,267.34","1,274.06","1,264.46","1,267.34"
07/07/2006,"1,265.48","1,275.38","1,263.13","1,265.48"
07/06/2006,"1,274.08","1,278.32","1,270.58","1,274.08"
07/05/2006,"1,270.91","1,280.05","1,265.91","1,270.91"
07/03/2006,"1,280.19","1,280.38","1,270.06","1,280.19"
06/30/2006,"1,270.20","1,276.30","1,270.20","1,270.20"
06/29/2006,"1,272.87","1,272.88","1,245.94","1,272.87"
06/28/2006,"1,246.00","1,247.06","1,237.59","1,246.00"
06/27/2006,"1,239.20","1,253.37","1,238.94","1,239.20"
06/26/2006,"1,250.56","1,250.92","1,243.68","1,250.56"
06/23/2006,"1,244.50","1,253.13","1,241.43","1,244.50"
06/22/2006,"1,245.60","1,251.92","1,241.53","1,245.60"
06/21/2006,"1,252.20","1,257.96","1,240.09","1,252.20"
06/20/2006,"1,240.12","1,249.01","1,238.87","1,240.12"
06/19/2006,"1,240.14","1,255.93","1,237.17","1,240.14"
06/16/2006,"1,251.54","1,256.27","1,246.33","1,251.54"
06/15/2006,"1,256.16","1,258.64","1,230.01","1,256.16"
06/14/2006,"1,230.04","1,231.46","1,219.29","1,230.04"
06/13/2006,"1,223.69","1,243.37","1,222.52","1,223.69"
06/12/2006,"1,236.40","1,255.22","1,236.20","1,236.40"
06/09/2006,"1,252.30","1,262.58","1,250.03","1,252.30"
06/08/2006,"1,257.93","1,259.85","1,235.18","1,257.93"
06/07/2006,"1,256.15","1,272.47","1,255.77","1,256.15"
06/06/2006,"1,263.85","1,269.88","1,254.46","1,263.85"
06/05/2006,"1,265.29","1,288.16","1,264.66","1,265.29"
06/02/2006,"1,288.22","1,290.68","1,280.22","1,288.22"
06/01/2006,"1,285.71","1,285.71","1,269.19","1,285.71"
05/31/2006,"1,270.09","1,270.09","1,259.38","1,270.09"
05/30/2006,"1,259.84","1,280.04","1,259.84","1,259.84"
05/26/2006,"1,280.16","1,280.54","1,272.50","1,280.16"
05/25/2006,"1,272.88","1,273.26","1,258.41","1,272.88"
05/24/2006,"1,258.57","1,264.53","1,245.34","1,258.57"
05/23/2006,"1,256.58","1,273.67","1,256.15","1,256.58"
05/22/2006,"1,262.07","1,268.77","1,252.98","1,262.07"
05/19/2006,"1,267.03","1,272.15","1,256.28","1,267.03"
05/18/2006,"1,261.81","1,274.89","1,261.75","1,261.81"
05/17/2006,"1,270.32","1,291.73","1,267.31","1,270.32"
05/16/2006,"1,292.08","1,297.88","1,288.51","1,292.08"
05/15/2006,"1,294.50","1,294.81","1,284.51","1,294.50"
05/12/2006,"1,291.24","1,305.88","1,290.38","1,291.24"
05/11/2006,"1,305.92","1,322.63","1,303.45","1,305.92"
05/10/2006,"1,322.85","1,325.51","1,317.44","1,322.85"
05/09/2006,"1,325.14","1,326.60","1,322.48","1,325.14"
05/08/2006,"1,324.66","1,326.70","1,322.87","1,324.66"
05/05/2006,"1,325.76","1,326.53","1,312.25","1,325.76"
05/04/2006,"1,312.25","1,315.14","1,307.85","1,312.25"
05/03/2006,"1,307.85","1,313.47","1,303.92","1,307.85"
05/02/2006,"1,313.21","1,313.66","1,305.16","1,313.21"
05/01/2006,"1,305.19","1,317.21","1,303.46","1,305.19"
04/28/2006,"1,310.61","1,316.04","1,306.16","1,310.61"
04/27/2006,"1,309.72","1,315.00","1,295.57","1,309.72"
04/26/2006,"1,305.41","1,310.97","1,301.74","1,305.41"
04/25/2006,"1,301.74","1,310.79","1,299.17","1,301.74"
04/24/2006,"1,308.11","1,311.28","1,303.79","1,308.11"
04/21/2006,"1,311.28","1,317.67","1,306.59","1,311.28"
04/20/2006,"1,311.46","1,318.16","1,306.38","1,311.46"
04/19/2006,"1,309.93","1,310.39","1,302.79","1,309.93"
04/18/2006,"1,307.65","1,309.02","1,285.33","1,307.65"
04/17/2006,"1,285.33","1,292.45","1,280.74","1,285.33"
04/13/2006,"1,289.12","1,292.09","1,283.37","1,289.12"
04/12/2006,"1,288.12","1,290.93","1,286.45","1,288.12"
04/11/2006,"1,286.57","1,300.71","1,282.96","1,286.57"
04/10/2006,"1,296.60","1,300.74","1,293.17","1,296.60"
04/07/2006,"1,295.50","1,314.07","1,294.18","1,295.50"
04/06/2006,"1,309.04","1,311.99","1,302.44","1,309.04"
04/05/2006,"1,311.56","1,312.81","1,304.82","1,311.56"
04/04/2006,"1,305.93","1,307.55","1,294.71","1,305.93"
04/03/2006,"1,297.81","1,309.19","1,296.65","1,297.81"
03/31/2006,"1,294.83","1,303.00","1,294.83","1,294.83"
03/30/2006,"1,300.25","1,310.15","1,296.72","1,300.25"
03/29/2006,"1,302.89","1,305.60","1,293.23","1,302.89"
03/28/2006,"1,293.23","1,306.24","1,291.84","1,293.23"
03/27/2006,"1,301.61","1,303.74","1,299.09","1,301.61"
03/24/2006,"1,302.95","1,306.53","1,298.89","1,302.95"
03/23/2006,"1,301.67","1,305.04","1,298.11","1,301.67"
03/22/2006,"1,305.04","1,305.97","1,295.81","1,305.04"
03/21/2006,"1,297.23","1,310.88","1,295.82","1,297.23"
03/20/2006,"1,305.08","1,310.00","1,303.59","1,305.08"
03/17/2006,"1,307.25","1,309.79","1,305.32","1,307.25"
03/16/2006,"1,305.33","1,310.45","1,303.02","1,305.33"
03/15/2006,"1,303.02","1,304.40","1,294.97","1,303.02"
03/14/2006,"1,297.48","1,298.14","1,282.67","1,297.48"
03/13/2006,"1,284.13","1,287.37","1,281.58","1,284.13"
03/10/2006,"1,281.58","1,284.37","1,271.11","1,281.58"
03/09/2006,"1,272.23","1,282.74","1,272.23","1,272.23"
03/08/2006,"1,278.47","1,280.33","1,268.42","1,278.47"
03/07/2006,"1,275.88","1,278.26","1,271.11","1,275.88"
03/06/2006,"1,278.26","1,288.23","1,275.67","1,278.26"
03/03/2006,"1,287.23","1,297.33","1,284.20","1,287.23"
03/02/2006,"1,289.14","1,291.24","1,283.21","1,289.14"
03/01/2006,"1,291.24","1,291.80","1,280.66","1,291.24"
02/28/2006,"1,280.66","1,294.12","1,278.12","1,280.66"
02/27/2006,"1,294.12","1,297.57","1,289.43","1,294.12"
02/24/2006,"1,289.43","1,292.11","1,285.62","1,289.43"
02/23/2006,"1,287.79","1,293.84","1,285.14","1,287.79"
02/22/2006,"1,292.67","1,294.17","1,283.03","1,292.67"
02/21/2006,"1,283.03","1,291.92","1,281.33","1,283.03"
02/17/2006,"1,287.24","1,289.47","1,284.07","1,287.24"
02/16/2006,"1,289.38","1,289.39","1,280.00","1,289.38"
02/15/2006,"1,280.00","1,281.00","1,271.06","1,280.00"
02/14/2006,"1,275.53","1,278.21","1,260.80","1,275.53"
02/13/2006,"1,262.86","1,266.99","1,258.34","1,262.86"
02/10/2006,"1,266.99","1,269.89","1,254.98","1,266.99"
02/09/2006,"1,263.78","1,274.56","1,262.80","1,263.78"
02/08/2006,"1,265.65","1,266.47","1,254.78","1,265.65"
02/07/2006,"1,254.78","1,265.78","1,253.61","1,254.78"
02/06/2006,"1,265.02","1,267.04","1,261.62","1,265.02"
02/03/2006,"1,264.03","1,270.87","1,261.02","1,264.03"
02/02/2006,"1,270.84","1,282.46","1,267.72","1,270.84"
02/01/2006,"1,282.46","1,283.33","1,277.57","1,282.46"
01/31/2006,"1,280.08","1,285.20","1,276.85","1,280.08"
01/30/2006,"1,285.20","1,287.94","1,283.51","1,285.20"
01/27/2006,"1,283.72","1,286.38","1,273.83","1,283.72"
01/26/2006,"1,273.83","1,276.44","1,264.68","1,273.83"
01/25/2006,"1,264.68","1,271.87","1,259.42","1,264.68"
01/24/2006,"1,266.86","1,271.47","1,263.82","1,266.86"
01/23/2006,"1,263.82","1,268.19","1,261.49","1,263.82"
01/20/2006,"1,261.49","1,285.04","1,260.92","1,261.49"
01/19/2006,"1,285.04","1,287.79","1,277.93","1,285.04"
01/18/2006,"1,277.93","1,282.93","1,272.08","1,277.93"
01/17/2006,"1,282.93","1,287.61","1,278.61","1,282.93"
01/13/2006,"1,287.61","1,288.96","1,282.78","1,287.61"
01/12/2006,"1,286.06","1,294.18","1,285.04","1,286.06"
01/11/2006,"1,294.18","1,294.90","1,288.12","1,294.18"
01/10/2006,"1,289.69","1,290.15","1,283.76","1,289.69"
01/09/2006,"1,290.15","1,290.78","1,284.82","1,290.15"
01/06/2006,"1,285.45","1,286.09","1,273.48","1,285.45"
01/05/2006,"1,273.48","1,276.91","1,270.30","1,273.48"
01/04/2006,"1,273.46","1,275.37","1,267.74","1,273.46"
01/03/2006,"1,268.80","1,270.22","1,245.74","1,268.80"
