Date,Open,High,Low,Close
10/04/1982,"121.51","122.22","119.91","121.51"
10/01/1982,"121.97","122.46","119.13","121.97"
09/30/1982,"120.42","121.90","119.45","120.42"
09/29/1982,"121.63","123.47","120.71","121.63"
09/28/1982,"123.24","124.91","122.58","123.24"
09/27/1982,"123.62","124.20","122.08","123.62"
09/24/1982,"123.32","124.44","122.36","123.32"
09/23/1982,"123.81","124.92","122.21","123.81"
09/22/1982,"123.99","127.31","123.56","123.99"
09/21/1982,"124.88","125.27","122.16","124.88"
09/20/1982,"122.51","123.25","120.81","122.51"
09/17/1982,"122.55","124.27","121.82","122.55"
09/16/1982,"123.77","125.59","122.89","123.77"
09/15/1982,"124.29","124.69","122.06","124.29"
09/14/1982,"123.10","124.50","121.80","123.10"
09/13/1982,"122.24","122.66","119.60","122.24"
09/10/1982,"120.97","122.17","119.58","120.97"
09/09/1982,"121.97","123.85","121.00","121.97"
09/08/1982,"122.20","123.65","120.45","122.20"
09/07/1982,"121.37","123.30","120.39","121.37"
09/03/1982,"122.68","124.83","121.01","122.68"
09/02/1982,"120.28","120.90","117.16","120.28"
09/01/1982,"118.25","120.01","118.24","118.25"
08/31/1982,"119.51","120.45","117.11","119.51"
08/30/1982,"117.66","117.11","115.92","117.66"
08/27/1982,"117.11","118.89","115.94","117.11"
08/26/1982,"118.55","120.24","118.69","118.55"
08/25/1982,"117.58","118.78","114.56","117.58"
08/24/1982,"115.34","117.53","114.08","115.34"
08/23/1982,"116.11","116.69","111.98","116.11"
08/20/1982,"113.02","113.49","109.33","113.02"
08/19/1982,"109.16","110.67","107.35","109.16"
08/18/1982,"108.53","111.54","109.50","108.53"
08/17/1982,"109.04","109.33","104.32","109.04"
08/16/1982,"104.09","106.21","103.56","104.09"
08/13/1982,"103.85","104.27","101.88","103.85"
08/12/1982,"102.42","103.85","101.80","102.42"
08/11/1982,"102.60","102.88","102.51","102.60"
08/10/1982,"102.84","104.37","102.30","102.84"
08/09/1982,"103.08","103.76","101.44","103.08"
08/06/1982,"103.71","105.74","103.71","103.71"
08/05/1982,"105.16","106.35","104.23","105.16"
08/04/1982,"106.14","107.73","105.59","106.14"
08/03/1982,"107.83","110.05","107.41","107.83"
08/02/1982,"108.98","109.55","107.01","108.98"
07/30/1982,"107.09","108.46","106.59","107.09"
07/29/1982,"107.72","107.89","106.79","107.72"
07/28/1982,"107.73","109.50","107.09","107.73"
07/27/1982,"109.43","111.01","108.90","109.43"
07/26/1982,"110.36","111.53","109.73","110.36"
07/23/1982,"111.17","112.41","110.25","111.17"
07/22/1982,"111.47","112.58","110.21","111.47"
07/21/1982,"111.42","113.12","110.68","111.42"
07/20/1982,"111.54","112.24","109.69","111.54"
07/19/1982,"110.73","112.35","110.08","110.73"
07/16/1982,"111.07","112.14","109.50","111.07"
07/15/1982,"110.47","111.75","109.54","110.47"
07/14/1982,"110.44","111.00","108.44","110.44"
07/13/1982,"109.45","110.69","108.43","109.45"
07/12/1982,"109.57","110.84","108.10","109.57"
07/09/1982,"108.83","109.68","107.26","108.83"
07/08/1982,"107.53","108.08","105.12","107.53"
07/07/1982,"107.22","108.20","106.26","107.22"
07/06/1982,"107.29","108.27","106.18","107.29"
07/02/1982,"107.65","108.10","107.65","107.65"
07/01/1982,"108.71","109.58","108.76","108.71"
06/30/1982,"109.61","110.95","110.95","109.61"
06/29/1982,"110.21","110.27","109.00","110.21"
06/28/1982,"110.26","110.97","108.74","110.26"
06/25/1982,"109.14","110.44","108.50","109.14"
06/24/1982,"109.83","111.39","109.07","109.83"
06/23/1982,"110.14","110.54","107.61","110.14"
06/22/1982,"108.30","108.76","106.51","108.30"
06/21/1982,"107.20","108.39","106.33","107.20"
06/18/1982,"107.28","108.24","106.51","107.28"
06/17/1982,"107.60","108.87","106.96","107.60"
06/16/1982,"108.87","110.62","108.30","108.87"
06/15/1982,"109.69","110.34","108.57","109.69"
06/14/1982,"109.96","111.32","109.41","109.96"
06/11/1982,"111.24","112.19","110.12","111.24"
06/10/1982,"109.61","110.30","108.28","109.61"
06/09/1982,"108.99","110.14","108.07","108.99"
06/08/1982,"109.63","110.91","109.03","109.63"
06/07/1982,"110.12","111.05","108.85","110.12"
06/04/1982,"110.09","112.15","109.64","110.09"
06/03/1982,"111.86","113.05","110.98","111.86"
06/02/1982,"112.04","112.82","110.95","112.04"
06/01/1982,"111.68","112.75","110.96","111.68"
05/28/1982,"111.88","113.23","111.19","111.88"
05/27/1982,"112.66","113.69","111.99","112.66"
05/26/1982,"113.11","114.40","112.44","113.11"
05/25/1982,"114.40","116.06","114.06","114.40"
05/24/1982,"114.79","115.53","113.70","114.79"
05/21/1982,"114.89","115.75","113.99","114.89"
05/20/1982,"114.59","115.64","113.73","114.59"
05/19/1982,"114.89","116.46","114.37","114.89"
05/18/1982,"115.84","117.01","115.18","115.84"
05/17/1982,"116.71","118.20","116.25","116.71"
05/14/1982,"118.01","119.07","117.39","118.01"
05/13/1982,"118.22","119.76","117.70","118.22"
05/12/1982,"119.17","120.47","118.23","119.17"
05/11/1982,"119.42","120.13","117.86","119.42"
05/10/1982,"118.38","119.73","117.80","118.38"
05/07/1982,"119.47","120.55","118.21","119.47"
05/06/1982,"118.68","119.62","117.72","118.68"
05/05/1982,"117.67","118.74","116.66","117.67"
05/04/1982,"117.46","117.61","117.39","117.46"
05/03/1982,"116.81","117.39","115.36","116.81"
04/30/1982,"116.44","117.37","115.44","116.44"
04/29/1982,"116.13","117.42","115.56","116.13"
04/28/1982,"117.26","118.59","116.42","117.26"
04/27/1982,"118.00","117.70","115.68","118.00"
04/26/1982,"119.26","117.70","115.68","119.26"
04/23/1982,"118.64","117.70","115.68","118.64"
04/22/1982,"117.19","117.70","115.68","117.19"
04/21/1982,"115.72","117.70","115.68","115.72"
04/20/1982,"115.44","117.70","115.68","115.44"
04/19/1982,"116.70","117.70","115.68","116.70"
04/16/1982,"116.81","117.70","115.68","116.81"
04/15/1982,"116.35","116.86","115.02","116.35"
04/14/1982,"115.83","116.69","114.80","115.83"
04/13/1982,"115.99","117.12","115.16","115.99"
04/12/1982,"116.00","117.02","115.16","116.00"
04/08/1982,"116.22","116.94","114.94","116.22"
04/07/1982,"115.46","116.45","114.58","115.46"
04/06/1982,"115.36","115.92","113.70","115.36"
04/05/1982,"114.73","115.90","113.94","114.73"
04/02/1982,"115.12","115.79","113.65","115.12"
04/01/1982,"113.79","114.22","111.48","113.79"
03/31/1982,"111.96","113.17","111.32","111.96"
03/30/1982,"112.27","113.09","111.23","112.27"
03/29/1982,"112.30","112.82","110.90","112.30"
03/26/1982,"111.94","113.43","111.26","111.94"
03/25/1982,"113.21","114.26","112.02","113.21"
03/24/1982,"112.97","114.31","112.23","112.97"
03/23/1982,"113.55","114.51","112.29","113.55"
03/22/1982,"112.77","113.35","110.71","112.77"
03/19/1982,"110.61","111.59","109.64","110.61"
03/18/1982,"110.30","111.02","108.85","110.30"
03/17/1982,"109.08","110.10","108.11","109.08"
03/16/1982,"109.28","110.92","108.57","109.28"
03/15/1982,"109.45","109.99","107.47","109.45"
03/12/1982,"108.61","109.72","107.46","108.61"
03/11/1982,"109.36","110.87","108.38","109.36"
03/10/1982,"109.41","110.98","108.09","109.41"
03/09/1982,"108.83","109.88","106.17","108.83"
03/08/1982,"107.34","111.06","107.03","107.34"
03/05/1982,"109.34","110.90","108.31","109.34"
03/04/1982,"109.88","111.78","108.77","109.88"
03/03/1982,"110.92","111.55","111.16","110.92"
03/02/1982,"112.68","114.80","112.03","112.68"
03/01/1982,"113.31","114.32","111.86","113.31"
02/26/1982,"113.11","114.01","112.04","113.11"
02/25/1982,"113.21","114.86","112.44","113.21"
02/24/1982,"113.47","112.30","111.41","113.47"
02/23/1982,"111.51","112.46","110.03","111.51"
02/22/1982,"111.59","114.90","111.20","111.59"
02/19/1982,"113.22","114.58","112.33","113.22"
02/18/1982,"113.82","115.04","112.97","113.82"
02/17/1982,"113.69","115.09","112.97","113.69"
02/16/1982,"114.06","114.63","112.06","114.06"
02/12/1982,"114.38","115.39","114.38","114.38"
02/11/1982,"114.43","115.59","113.41","114.43"
02/10/1982,"114.66","115.62","113.45","114.66"
02/09/1982,"113.68","115.15","112.82","113.68"
02/08/1982,"114.63","117.04","114.20","114.63"
02/05/1982,"117.26","118.26","115.74","117.26"
02/04/1982,"116.42","117.49","114.88","116.42"
02/03/1982,"116.48","118.67","116.04","116.48"
02/02/1982,"118.01","119.15","116.91","118.01"
02/01/1982,"117.78","119.81","117.14","117.78"
01/29/1982,"120.40","121.38","118.64","120.40"
01/28/1982,"118.92","119.35","116.10","118.92"
01/27/1982,"115.74","116.60","114.38","115.74"
01/26/1982,"115.19","116.60","114.49","115.19"
01/25/1982,"115.41","115.93","113.63","115.41"
01/22/1982,"115.38","116.53","114.56","115.38"
01/21/1982,"115.75","116.92","114.60","115.75"
01/20/1982,"115.27","116.64","114.29","115.27"
01/19/1982,"115.97","118.15","115.52","115.97"
01/18/1982,"117.22","117.69","114.85","117.22"
01/15/1982,"116.33","117.14","115.10","116.33"
01/14/1982,"115.54","116.30","114.07","115.54"
01/13/1982,"114.88","116.85","115.30","114.88"
01/12/1982,"116.30","117.49","115.18","116.30"
01/11/1982,"116.78","120.34","116.47","116.78"
01/08/1982,"119.55","120.59","118.55","119.55"
01/07/1982,"118.93","119.86","117.70","118.93"
01/06/1982,"119.18","120.45","117.99","119.18"
01/05/1982,"120.05","122.61","119.57","120.05"
01/04/1982,"122.74","123.72","121.48","122.74"
